id_sensor,id_maquina,ts,vibracao,temperatura,velocidade_motor,dias_ultima_manutencao,falha,modelo,tipo,ultima_manutencao,cargo,idade
1,10,2025-09-01 08:00:00,84.89,63.15,1348,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:01:00,45.42,54.43,2052,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:02:00,44.95,67.28,2372,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:03:00,73.55,56.82,1927,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:04:00,73.09,46.4,2674,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:05:00,78.8,49.72,2878,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:06:00,61.32,43.73,2868,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:07:00,53.87,62.22,2821,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:08:00,85.62,59.88,3143,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:09:00,51.81,65.01,2176,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:10:00,78.63,48.18,2631,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:11:00,66.21,37.28,3189,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:12:00,47.01,51.33,2899,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:13:00,67.47,45.39,1113,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:14:00,31.93,43.28,3076,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:15:00,56.25,47.25,2492,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:16:00,58.64,57.44,2882,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:17:00,69.29,41.77,2337,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:18:00,47.22,55.53,2408,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:19:00,69.52,52.69,2214,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:20:00,65.82,60.77,3213,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:21:00,57.66,64.72,1926,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:22:00,38.25,47.51,2497,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:23:00,62.8,47.35,3093,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:24:00,52.94,59.16,2325,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:25:00,57.51,52.07,2584,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:26:00,58.96,46.75,2899,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:27:00,67.74,54.98,2670,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:28:00,81.47,41.97,2480,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:29:00,82.3,39.34,2045,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:30:00,55.59,47.37,2323,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:31:00,78.38,47.21,3035,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:32:00,56.57,58.78,2653,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:33:00,54.99,55.96,2004,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:34:00,68.5,60.96,2290,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:35:00,66.66,40.47,3018,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:36:00,56.19,49.58,3009,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:37:00,75.24,50.75,3157,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:38:00,81.9,42.83,3439,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:39:00,53.3,43.99,2315,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:40:00,61.21,47.5,2756,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:41:00,71.13,49.29,2783,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:42:00,54.5,62.76,2872,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:43:00,59.02,46.05,2390,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:44:00,61.76,52.58,2395,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:45:00,60.15,50.26,2138,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:46:00,76.92,51.17,2783,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:47:00,67.96,37.77,2791,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:48:00,75.78,40.19,2655,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:49:00,63.19,54.87,2567,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:50:00,73.46,60.88,2796,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:51:00,48.88,41.15,2076,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:52:00,50.27,39.63,2523,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:53:00,56.52,53.39,2641,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:54:00,60.02,38.02,1860,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:55:00,86.58,43.29,1993,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:56:00,61.9,29.87,2008,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:57:00,48.4,51.33,3151,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:58:00,66.08,39.22,2950,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 08:59:00,55.26,47.57,1741,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:00:00,60.62,30.86,2314,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:01:00,86.02,45.8,2243,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:02:00,75.77,48.92,2689,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:03:00,77.41,55.87,2380,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:04:00,52.34,40.82,2209,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:05:00,70.55,61.21,2005,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:06:00,78.63,64.71,2417,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:07:00,52.43,40.52,1897,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:08:00,52.94,58.88,3265,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:09:00,64.98,56.6,2035,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:10:00,57.06,48.27,3289,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:11:00,54.84,34.3,3152,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:12:00,77.67,64.25,2413,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:14:00,59.54,39.61,1417,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:15:00,61.14,36.91,1949,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:16:00,60.3,50.93,2208,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:17:00,77.58,53.06,1826,0,1,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:18:00,80.87,45.92,2345,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
1,10,2025-09-01 09:19:00,50.73,64.26,2445,0,0,M123-SoldaX,Solda,2025-09-01,Técnico de Automação,33
